"customer_id","first_name","last_name","email","age","account_type","city","account_balance","total_liquid_assets","total_liabilities","net_position","rewards_points","customer_segment","credit_risk_profile","demographics"
48740,Charles,Wilson,customer48740@kag.com,63,Savings,Phoenix,10000.0,10587.29,10148.46,-148.45996,4731,Tier-3: Standard,Low Risk,Other
20572,Mary,Robinson,customer20572@kag.com,25,Current,Washington,9999.91,11303.96,25809.021,-15809.111,5164,Tier-1: Premium,Neutral,Female
40358,Donna,Adams,customer40358@kag.com,32,Savings,Louisville,9999.89,13596.819,26096.27,-16096.38,827,Tier-1: Premium,Low Risk,Other
63928,Ashley,Torres,customer63928@kag.com,34,Current,Indianapolis,9999.87,14380.32,15285.62,-5285.75,1398,Tier-2: High Value,Rejected Applicant,Male
45461,Michael,King,customer45461@kag.com,35,Savings,Washington,9999.53,10743.36,31047.85,-21048.32,7864,Tier-1: Premium,Low Risk,Female
23737,Kevin,Johnson,customer23737@kag.com,31,Savings,Fresno,9999.52,10521.189,1979.05,8020.4697,9939,Tier-3: Standard,Neutral,Other
82011,Ashley,Garcia,customer82011@kag.com,56,Savings,Fresno,9999.46,12705.98,22258.94,-12259.4795,5845,Tier-2: High Value,Rejected Applicant,Female
72919,William,Rodriguez,customer72919@kag.com,32,Savings,Indianapolis,9999.44,14362.131,5888.11,4111.3306,428,Tier-2: High Value,Rejected Applicant,Male
97021,Donna,Lee,customer97021@kag.com,45,Savings,Philadelphia,9999.42,11556.03,34461.79,-24462.37,8417,Tier-1: Premium,Low Risk,Female
62058,Joseph,Lee,customer62058@kag.com,22,Current,Dallas,9999.36,12473.5,20855.121,-10855.761,2845,Tier-2: High Value,Rejected Applicant,Male
79807,Nancy,King,customer79807@kag.com,68,Current,Atlanta,9999.01,12178.34,6266.42,3732.5898,4907,Tier-3: Standard,Rejected Applicant,Female
42470,Kevin,Rodriguez,customer42470@kag.com,41,Savings,Philadelphia,9998.98,11263.541,9322.641,676.33984,2115,Tier-3: Standard,Rejected Applicant,Female
40060,Amanda,Perez,customer40060@kag.com,25,Current,Omaha,9998.81,13272.9795,43715.11,-33716.3,5128,Tier-1: Premium,Low Risk,Male
11490,Charles,Torres,customer11490@kag.com,32,Current,Louisville,9998.77,11315.409,48525.86,-38527.09,9588,Tier-1: Premium,Neutral,Other
97688,Donna,Wilson,customer97688@kag.com,56,Current,Phoenix,9998.71,11857.23,14889.561,-4890.8506,1695,Tier-2: High Value,Neutral,Female
52969,Linda,Robinson,customer52969@kag.com,21,Savings,Austin,9998.61,13195.351,32683.72,-22685.11,8859,Tier-1: Premium,Low Risk,Male
4056,Mark,Flores,mark.flores@kag.com,46,Savings,San Jose,9998.11,14330.91,38427.36,-28429.25,6883,Tier-1: Premium,Low Risk,Male
15452,Michael,Johnson,customer15452@kag.com,67,Current,Dallas,9997.8,14528.74,23005.41,-13007.61,2869,Tier-2: High Value,Low Risk,Female
13430,Mark,Perez,customer13430@kag.com,23,Current,El Paso,9997.8,10477.3,43716.82,-33719.02,8225,Tier-1: Premium,Neutral,Female
23686,William,Wilson,customer23686@kag.com,50,Current,Dallas,9997.6,12722.0,51139.258,-41141.656,6977,Tier-1: Premium,Neutral,Other
68459,Michael,Adams,customer68459@kag.com,26,Savings,Memphis,9997.54,13052.65,10449.88,-452.33984,6513,Tier-2: High Value,Neutral,Other
18133,Lisa,Lee,customer18133@kag.com,66,Savings,Omaha,9997.41,14004.94,27759.879,-17762.469,9556,Tier-1: Premium,Neutral,Male
34785,Linda,Robinson,customer34785@kag.com,65,Current,Omaha,9997.4,12529.0,22668.87,-12671.469,4675,Tier-1: Premium,Low Risk,Other
27318,Charles,Moore,customer27318@kag.com,64,Current,Fresno,9997.08,14212.38,40146.1,-30149.021,9903,Tier-1: Premium,Neutral,Male
35614,Nancy,Taylor,customer35614@kag.com,31,Current,Memphis,9997.05,13194.84,18587.08,-8590.03,15,Tier-2: High Value,Rejected Applicant,Other
15372,Kevin,Rodriguez,customer15372@kag.com,40,Savings,Phoenix,9996.98,10295.75,47145.55,-37148.57,3045,Tier-1: Premium,Rejected Applicant,Male
40238,Nancy,Baker,customer40238@kag.com,34,Savings,Philadelphia,9996.91,11827.95,42042.56,-32045.648,4687,Tier-1: Premium,Low Risk,Other
62474,Linda,Allen,customer62474@kag.com,41,Current,Columbus,9996.85,13494.43,5939.75,4057.0996,7626,Tier-2: High Value,Rejected Applicant,Male
29309,Mark,Young,customer29309@kag.com,59,Current,Memphis,9996.81,12332.209,9814.609,182.2002,354,Tier-3: Standard,Low Risk,Male
11339,Ashley,Adams,customer11339@kag.com,35,Current,Fresno,9996.79,14807.03,44111.617,-34114.83,2412,Tier-1: Premium,Rejected Applicant,Male
22911,Amanda,Adams,customer22911@kag.com,46,Current,Atlanta,9996.78,10184.44,40024.4,-30027.617,6016,Tier-1: Premium,Rejected Applicant,Other
35401,William,Johnson,customer35401@kag.com,59,Current,Memphis,9996.69,14694.7,25601.9,-15605.21,3178,Tier-1: Premium,Neutral,Female
65737,Lisa,Perez,customer65737@kag.com,51,Current,Austin,9996.52,10920.319,42484.89,-32488.371,7885,Tier-1: Premium,Low Risk,Other
38332,Joseph,King,customer38332@kag.com,18,Current,Louisville,9996.47,12033.109,33487.24,-23490.77,7152,Tier-1: Premium,Low Risk,Other
6289,Christopher,Martinez,customer6289@kag.com,27,Savings,Philadelphia,9996.44,13866.221,49942.043,-39945.6,4446,Tier-1: Premium,Low Risk,Male
58172,Lisa,Perez,customer58172@kag.com,30,Savings,Oklahoma City,9996.44,10111.221,13488.7705,-3492.33,517,Tier-2: High Value,Rejected Applicant,Female
23477,Mark,Wilson,customer23477@kag.com,18,Current,Phoenix,9996.42,12137.06,10136.33,-139.91016,1903,Tier-3: Standard,Rejected Applicant,Other
32217,Michael,Flores,customer32217@kag.com,54,Savings,Austin,9996.32,12872.09,25030.84,-15034.52,5910,Tier-1: Premium,Rejected Applicant,Other
68891,William,Young,customer68891@kag.com,35,Savings,Dallas,9996.32,12231.92,29436.98,-19440.66,5891,Tier-1: Premium,Neutral,Male
46563,Donna,Perez,customer46563@kag.com,32,Savings,Austin,9996.04,10911.74,19355.129,-9359.089,5697,Tier-2: High Value,Rejected Applicant,Female
